,375 nm,,,407 nm,,,532 nm,,,635 nm,,,850 nm,,,375 nm,,,407 nm,,,532 nm,,,635 nm,,,850 nm,,
Name,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC
P10,0.15643658869411697,0.36533571877164855,0.47737094923459705,0.17305650622725835,0.4041492058757947,0.42373598826278835,0.22119123757489553,0.5165611219215616,0.263609256154378,0.24475301193073315,0.5715863423107418,0.18125074575837447,0.2724809259954238,0.636340997851522,0.09213121219056056,0.7602818210534086,1.775531593230212,2.3200228132801417,0.7043399803449415,1.6448872679144846,1.7246054722295487,0.5485542691857409,1.2810715823654726,0.6537509552628575,0.46503072266839296,1.0860140503904094,0.3443764169409115,0.3542252037940509,0.8272432972069786,0.11977057584772872
P11,0.11648953979986172,0.3827968226179838,0.5008594144952035,0.12933707080168313,0.425015154447887,0.4453565258870238,0.16809775691902937,0.5523868267345582,0.2799655779946538,0.1880081412822088,0.6178144340924587,0.19376535943212828,0.21039548281833145,0.6913815820236374,0.09832982070612524,0.3657771549715658,1.2019820230204692,1.5726985615149394,0.3388631255004098,1.113539704653464,1.1668340978240024,0.2639134783628761,0.8672473179732564,0.4395459574516065,0.22372968812582847,0.7351991765700259,0.23058077772423263,0.17042034108284848,0.5600190814391464,0.07964715477196145
P12,0.32806377388510655,0.2832130283766355,0.38674765838533215,0.3544512362003255,0.30599296846256757,0.34217338436804173,0.4231404041325318,0.36529140009484046,0.21249162461405202,0.4554242373119835,0.39316159756919106,0.14849704252541648,0.494889321154728,0.427231271821478,0.07920916597964203,1.5189352730880432,1.3112763213838223,1.7906416583240878,1.4071714077152921,1.2147920847963933,1.3584283359411258,1.0959336467032572,0.9461047262456368,0.5503533077503947,0.9290654441164463,0.8020496590411498,0.30293396675184964,0.707691729251261,0.6109407187047136,0.1132691073508881
P13,0.1414964909299029,0.36971944256518957,0.4884081880777435,0.15655756781806782,0.4090728775156177,0.4348731009304107,0.2009145589919799,0.524974282157604,0.2742275214298816,0.22379017150701555,0.584746497368129,0.19099675885803907,0.24964038643599,0.6522911197889455,0.09829036031938528,1.1305569625299243,2.9540583460958647,3.9023814227411706,1.0473701287028738,2.736697550579483,2.909301045224448,0.8157131095074384,2.131395585559872,1.113363737005319,0.691511629956678,1.8068666768675186,0.5901799848713407,0.5267412153799389,1.3763342627546749,0.2073926602739029
P14,0.18897809204634144,0.35169950122549726,0.4591948242733258,0.20777342662610085,0.3866787399588777,0.40578234431766463,0.26191962771755894,0.4874480498344981,0.25034395292779105,0.28932409745431564,0.5384494026019029,0.17245896690128035,0.3189785744713006,0.5936381531234135,0.08733203542031369,0.7804795201513901,1.4525189400613037,1.8964746242488355,0.7230515246588309,1.3456420150568944,1.4121225582254728,0.5631271995927517,1.0480133071441708,0.5382394987947507,0.4773847607996208,0.8884415142931398,0.28455729538711255,0.3636355748972827,0.6767474945606914,0.09955852037915759
P16,0.17008040616227146,0.35730949558383285,0.47221958672752246,0.18741468586008783,0.39372581698670217,0.4194675454177414,0.23763217922508728,0.4992240788300627,0.2628310584776076,0.26351040671408776,0.5535897557433483,0.1829295151167221,0.29215449481950184,0.6137660270925563,0.09414432217326414,1.7620330078411324,3.701726374248508,4.8921949184971325,1.632381913841365,3.4293518659541764,3.6535623205885277,1.2713321588542168,2.6708488217408353,1.4061461628552008,1.077757563460619,2.2641821009902947,0.7481817168273933,0.8209541304428002,1.7246825361300835,0.26454554530687224
P17,0.39240222133903246,0.25711679901855067,0.3487724974333194,0.42063521404553855,0.2756161252625249,0.30624231387095063,0.4913988603661307,0.3219831467506921,0.18628656570657023,0.5252503534995231,0.34416392729458284,0.12937065478750134,0.5634004337593637,0.36916130494764177,0.06818829587529691,1.185054708443878,0.776492733036023,1.0532929422486246,1.0978579086588556,0.7193580869351899,0.799292439203181,0.8550340170370674,0.5602506753462043,0.3241386243294322,0.7248454878293418,0.4749462196665243,0.17853150360675182,0.5521324250841764,0.3617780788486889,0.06682452995779098
P18,0.3093117463791083,0.2909859956441404,0.39877580618439556,0.3340598465081979,0.31426784846953454,0.3527922456821185,0.40189261439781154,0.3780817376370824,0.22102275094881757,0.43426004181248246,0.4085314965064197,0.15517729685360618,0.47290207900591696,0.44488411420709995,0.08304645400035679,1.3702510364594496,1.289067960703542,1.7665768213968722,1.2694274167311521,1.1942178241842312,1.3406105335920502,0.9886558314186163,0.9300810745872228,0.5437159673340912,0.8381218806980911,0.78846578825739,0.29949218292745994,0.638417806657988,0.6005935541795849,0.11211271290048166
P19,0.3321688762224149,0.28704602715259914,0.3804540040480821,0.35798054708691074,0.30935136069282815,0.3331562829779681,0.42802076127634103,0.36987709523073603,0.202014461351486,0.46169059893898384,0.3989731178498546,0.13912935124799775,0.4980659144824589,0.43040709785400566,0.07166408632960752,2.1059506752501105,1.8198718121474786,2.4120783856648407,1.9509939816236634,1.6859649157759136,1.8157017422299264,1.5194737025310106,1.3130636880691129,0.7171513377977753,1.288116771039765,1.1131349988010943,0.3881708899819137,0.981189851530444,0.8479019827723911,0.14117825006932683
P20,0.34924032787305664,0.27916334069540005,0.3710664038784249,0.3757274532684547,0.3003356791129868,0.32483064723575716,0.4461319235070082,0.3566131062686173,0.1965062358932398,0.480633397388278,0.38419167019411926,0.13558093618262754,0.5168613746023614,0.4131503050897905,0.06996539318377555,2.263077324617407,1.8089784477061925,2.404510297132193,2.0965591892379773,1.6758730894504665,1.8125550115755251,1.63284284003565,1.3052039689431394,0.7192128233692576,1.3842241844782406,1.1064720101590635,0.3904730962059673,1.0543972041888172,0.8428266223831726,0.14272940209490212
